experiment_id,stage,status,primary_axis,baseline,candidate,primary_hypothesis,primary_metric,guardrails,seeds,dataset_sha256,evidence_id,decision,notes
LO-03,ablation,planned,training_objective,one-step loss,multi-step rollout loss,"Local accuracy fails to constrain closed-loop stability",validation_rollout_error_auc,"event subthreshold slow and synaptic guardrails",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,,pending,"Requires a scaffold that first passes one-step transition guardrails"
LO-04,ablation,blocked,gradient_treatment,joint loss,conflict-aware objective,"State-family gradient conflict prevents a joint solution",event_and_slow_pareto,"same scalar losses and update budget",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"PCGRAD-2020",pending,"Only if DG-01 measures stable negative cosine conflicts"
SR-01,discovery,preregistered,information_contract,state-context-matched GRU,predicted-state-feedback GRU,"Own-state feedback exposes fast phase without teacher leakage",event_recall,"teacher state only at trajectory initialization; identical parameters initialization and updates",1,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"GRU-2014",pending,"Authorized by DG-02 information-contract signature; one-seed L1 preflight before any three-seed replication"
SC-02,discovery,planned,scaffold,GRU,LSTM,"Separate cell state improves mixed-timescale dynamics",validation_mean_state_nrmse,"rapid-fire slow states matched budget",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"LSTM-1997",pending,"Capability bench first"
SC-03,discovery,planned,scaffold,GRU,CfC,"Closed-form continuous-time gating improves mixed-timescale reconstruction",validation_mean_state_nrmse,"event slow runtime matched budget",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"CFC-2022",pending,"Official implementation and fixed dt first"
SC-04,discovery,planned,scaffold,GRU,LTC,"State-dependent time constants improve slow/fast coexistence",validation_mean_state_nrmse,"event slow runtime solver tolerances",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"LTC-2021",pending,"Solver cost/tolerance are part of treatment"
SC-05,discovery,planned,scaffold,GRU,S4,"Structured state-space memory improves stable fast-slow response",validation_rollout_error_auc,"matched capacity updates and state-family guardrails",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"S4-2021",pending,"Must pass CB-01"
SC-06,discovery,planned,scaffold,GRU,Neural ODE control system,"A learned continuous vector field improves physical-state rollout",validation_rollout_error_auc,"event jump handling; solver budget and tolerance",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"NODE-2018;NCDE-2020",pending,"Use only with explicit state/control contract"
SC-07,discovery,blocked,scaffold,S4,Mamba,"Input-selective state-space transitions add value beyond generic long memory",validation_mean_state_nrmse,"capacity and compute matched",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"MAMBA-2023",pending,"Run only if S4 shows a specific selection deficit"
CB-01,capability,planned,synthetic_bench,standard layer families,fast-slow threshold task,"A candidate can integrate slow evidence and express a narrow transition",capability_success_rate,"matched parameters data and updates",3,synthetic,"S4-2021;CFC-2022;LTC-2021",pending,"No Hay test data"
CB-02,capability,planned,synthetic_bench,monolithic baseline,four-node propagation task,"Message passing captures local causal propagation efficiently",propagation_nrmse,"matched parameters and graph information",3,synthetic,"MPNN-2017",pending,"No Hay test data"
CB-03,capability,planned,synthetic_bench,standard layer families,hysteresis task,"A candidate can represent state-dependent switching",transition_F1,"matched parameters data and updates",3,synthetic,,pending,"No Hay test data"
CB-04,capability,planned,synthetic_bench,standard layer families,long-memory task,"A candidate retains causally relevant slow evidence",error_by_delay,"matched parameters data and updates",3,synthetic,,pending,"No Hay test data"
SP-01,discovery,blocked,spatial,monolithic promoted scaffold,message-passing scaffold,"Four-node local updates plus coupling are more data-efficient",validation_mean_state_nrmse,"capacity information and update matched",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"MPNN-2017",pending,"Requires CB-02 and promoted temporal scaffold"
SP-02,discovery,blocked,spatiotemporal,promoted temporal scaffold,graph recurrent scaffold,"Temporal memory and spatial coupling compose efficiently",validation_mean_state_nrmse,"capacity information and update matched",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"MPNN-2017;GRU-2014",pending,"Requires SP-01 signal"
HY-01,discovery,blocked,regime,monolithic promoted scaffold,switching mixture of experts,"Specialized rare-regime computation improves transitions without spill",event_F1,"router calibration and common-regime guardrails",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"MOE-2017",pending,"Requires capable expert; router signal alone is already insufficient"
HY-02,discovery,blocked,timescale,monolithic promoted scaffold,multirate recurrent scaffold,"Explicit update rates improve measured fast-slow separation",validation_mean_state_nrmse,"matched updates and capacity",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"CW-RNN-2014",pending,"Requires capability evidence of timescale separation"
CP-01,discovery,blocked,composition,monolithic control,evidence-backed modular composition,"Independently supported modules provide non-additive gain",validation_mean_state_nrmse,"parameter matched monolithic control",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,,pending,"No component enters without its own evidence"
NM-01,ablation,blocked,normalization,TBD,TBD,"Measured scaling or saturation pathology is causal",TBD,"single axis only",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,,pending,"Only after ACT-SAT or gradient-scale trigger"
AC-01,ablation,blocked,activation,TBD,TBD,"Activation saturation is causally linked to failure",TBD,"single axis; fixed scaffold loss and budget",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,,pending,"Do not run without ACT-SAT trigger"
RG-01,ablation,blocked,regularization,TBD,TBD,"Co-adaptation or unstable sensitivity causes failure",TBD,"single axis; fixed architecture and loss",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"SAM-2020",pending,"Specify only after gradients/landscape"
OP-01,ablation,blocked,optimizer,TBD,TBD,"The architecture is adequate but optimization trajectory is not",TBD,"same initialization batches and updates",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"SAM-2020;SWA-2018",pending,"Only if landscape evidence supports it"
CF-01,confirmation,blocked,replication,promoted candidate,same candidate three seeds,"Discovery gain replicates",median_primary_metric,"all preregistered guardrails and closed test",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,,pending,"Freeze candidate and thresholds before test"
CF-02,confirmation,blocked,data_efficiency,promoted candidate,training-set fractions,"The promoted bias improves sample efficiency",area_under_learning_curve,"three seeds and fixed validation",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,,pending,"Only after CF-01"
CF-03,confirmation,blocked,stress_test,promoted candidate,long rollout and OOD,"The promoted claim survives bounded stress tests",rollout_error_auc,"candidate and thresholds frozen before one test opening",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,,pending,"Final confirmation"
SY-01,synthesis,blocked,composition,promoted monolithic control,composite candidate,"Complementary supported mechanisms compose non-additively",validation_mean_state_nrmse,"module ablations and capacity control",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,,pending,"P7 only"
SY-02,synthesis,blocked,ablation,composite candidate,module ablations,"Each retained module contributes its predicted capability",capability_specific_metrics,"same training and compute",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,,pending,"P7 only"
